Constituency Name,Constituency Ainm,Count Number,Date Of Election,Number Of Candidates,Number of Seats,Quota,Required Save Deposit,Seats Filled,SeatsinConstit,Spoiled,Total Electorate,Total Poll,Valid Poll,Constituency Number
Carlow Kilkenny,Ceatharlach-Cill Chainnigh,10,08/02/2020,14,5,12274,3069,5,5,546,114343,74189,73643,1
Cavan Monaghan,An Cabhán-Muineachán,11,08/02/2020,13,5,12031,3008,5,5,695,110190,72878,72183,2
Clare,An Clár,10,08/02/2020,15,4,11900,2976,4,4,519,91120,60014,59495,3
Cork East,Corcaigh Thoir,8,08/02/2020,13,4,10909,2728,4,4,401,89998,54945,54544,4
Cork North Central,Corcaigh Thuaidh-Lár,14,08/02/2020,18,4,10356,2590,4,4,440,87473,52218,51778,5
Cork North West,Corcaigh Thiar Thuaidh,5,08/02/2020,9,3,11593,2899,3,3,486,71685,46856,46370,6
Cork South Central,Corcaigh Theas-Lár,8,08/02/2020,14,4,11429,2858,4,4,317,90916,57457,57140,7
Cork South West,Corcaigh Thiar Theas,8,08/02/2020,12,3,11085,2772,3,3,288,69127,44626,44338,8
Donegal,Dún na nGall,9,08/02/2020,13,5,12909,3228,5,5,647,125911,78099,77452,9
Dublin Central,Baile Átha Cliath Láir,9,08/02/2020,16,4,6288,1573,4,4,297,61998,31732,31435,11
Dublin Bay North,Cuan Bhaile Átha Cliath Thuaidh,14,08/02/2020,18,5,11935,2984,5,5,645,112047,72251,71606,13
Dublin Fingal,Baile Átha Cliath - Fine Gall,12,08/02/2020,16,5,10574,2644,5,5,451,101045,63891,63440,14
Dublin North West,Baile Átha Cliath Thiar Thuaidh,6,08/02/2020,10,3,8097,2025,3,3,343,54885,32729,32386,15
Dublin South Central,Baile Átha Cliath Theas-Lár,6,08/02/2020,13,4,8659,2165,4,4,515,79460,43806,43291,16
Dublin Bay South,Cuan Bhaile Átha Cliath Theas,8,08/02/2020,15,4,7919,1980,4,4,268,80764,39859,39591,17
Dublin Rathdown,Baile Átha Cliath-Ráth an Dúin,8,08/02/2020,11,3,10601,2651,3,3,251,67012,42654,42403,18
Dublin South West,Baile Átha Cliath Thiar Theas,11,08/02/2020,16,5,11261,2816,5,5,629,109517,68194,67565,19
Dublin West,Baile Átha Thiar,6,08/02/2020,12,4,8726,2182,4,4,270,70337,43898,43628,20
Dún Laoghaire,Dún Laoghaire,8,08/02/2020,13,4,12459,3115,4,4,357,99811,62650,62293,21
Galway East,Gaillimh Thoir,8,08/02/2020,12,3,10631,2658,3,3,338,69233,42858,42520,22
Galway West,Gaillimh Thiar,13,08/02/2020,15,5,10057,2515,5,5,423,104825,60764,60341,23
Kerry,Ciarraí,8,08/02/2020,13,5,12945,3237,5,5,543,116885,78209,77666,24
Kildare North,Cill Dara Thuaidh,6,08/02/2020,12,4,10190,2548,4,4,382,81884,51327,50945,26
Laois-Offaly,Laois-Uíbh Fhailí,11,08/02/2020,15,5,11571,2893,5,5,576,110839,69998,69422,27
Limerick City,Cathair Luimnigh,9,08/02/2020,12,4,9226,2307,4,4,355,77643,46484,46129,28
Limerick County,Contae Luimnigh,6,08/02/2020,12,3,11523,2881,3,3,409,72165,46499,46090,29
Longford Westmeath,An Longfort-An Iarmhí,10,08/02/2020,15,4,11277,2820,4,4,500,94835,56883,56383,30
Louth,Lú,10,08/02/2020,15,5,11778,2945,5,5,757,113128,71424,70667,31
Mayo,Maigh Eo,7,08/02/2020,15,4,12871,3218,4,4,553,98165,64906,64353,32
Meath East,An Mhí Thoir,7,08/02/2020,12,3,10487,2622,3,3,253,66507,42198,41945,34
Sligo Leitrim,Sligeach-Liatroim,15,08/02/2020,19,4,12137,3035,4,4,489,97170,61169,60680,35
Tipperary,Tiobraid Árann,9,08/02/2020,14,5,13632,3409,5,5,635,126781,82423,81788,36
Waterford,Port  Lairge,7,08/02/2020,11,4,10752,2689,4,4,447,84978,54205,53758,38
Meath West,An Mhí Thiar,6,08/02/2020,9,3,10377,2595,3,3,320,67982,41824,41504,39
Wexford,Loch Garman,11,08/02/2020,15,5,12513,3129,5,5,549,116155,75622,75073,40
Wicklow,Cill Mhantáin,15,08/02/2020,20,5,11887,2972,5,5,559,101332,71879,71320,41
Kildare South,Cill Dara Theas,8,08/02/2020,11,3,11816,2955,3,3,440,77719,47700,47260,187
Dublin Mid West,Baile Átha Cliath Thiar-Meán,9,08/02/2020,12,4,9091,2273,4,4,480,74506,45932,45452,643
Roscommon Galway,Ros Comáin-Gaillimh,6,08/02/2020,11,3,11404,2852,3,3,330,69598,45942,45612,996
